endpoint,rf_random,gatv2_random,gatv2_scaffold,dmpnn_random,dmpnn_scaffold
NR-AR,0.82,0.7402,0.643,0.7845,0.657
NR-AR-LBD,0.841,0.8322,0.8249,0.8582,0.8346
NR-AhR,0.896,0.8945,0.9123,0.8918,0.9023
NR-Aromatase,0.818,0.7962,0.8795,0.8353,0.894
NR-ER,0.768,0.6974,0.5693,0.7514,0.5905
NR-ER-LBD,0.797,0.816,0.6821,0.8289,0.697
NR-PPAR-gamma,0.908,0.9195,0.8506,0.9306,0.8308
SR-ARE,0.776,0.7849,0.8003,0.8138,0.8064
SR-ATAD5,0.834,0.8908,0.8209,0.9138,0.8534
SR-HSE,0.69,0.7474,0.7796,0.8306,0.7582
SR-MMP,0.901,0.8566,0.8985,0.8978,0.8867
SR-p53,0.804,0.8382,0.8354,0.892,0.8421
Mean,0.8211,0.8178,0.7914,0.8524,0.7961
